algorithm,problem,dimension,run_id,best_fitness,fe,iterations,wall_time
GA,F5_Rastrigin_D10,10,1,26768.36222312526,100034,2083,1.3298
GA,F5_Rastrigin_D10,10,2,21566.014831935026,100034,2083,1.3998
GA,F5_Rastrigin_D10,10,3,29613.24455296057,100034,2083,1.3281
GA,F5_Rastrigin_D10,10,4,19100.659533248432,100034,2083,1.4085
GA,F5_Rastrigin_D10,10,5,28804.225865600125,100034,2083,1.3495
GA,F5_Rastrigin_D10,10,6,11290.66319145105,100034,2083,1.3580
GA,F5_Rastrigin_D10,10,7,17036.97930735494,100034,2083,1.4137
GA,F5_Rastrigin_D10,10,8,8657.413769557064,100034,2083,1.3453
GA,F5_Rastrigin_D10,10,9,17067.82662785421,100034,2083,1.3298
GA,F5_Rastrigin_D10,10,10,13571.710753236857,100034,2083,1.3375
GA,F5_Rastrigin_D10,10,11,17359.89697887069,100034,2083,1.3336
GA,F5_Rastrigin_D10,10,12,4738.845348447394,100034,2083,1.5068
GA,F5_Rastrigin_D10,10,13,6541.247753303136,100034,2083,1.3336
GA,F5_Rastrigin_D10,10,14,20597.860561230893,100034,2083,1.3519
RCOA,F9_Levy_D10,10,0,1.6713110420103196e-14,100022,4134,1.9335
RCOA,F9_Levy_D10,10,1,1.2982886378694197e-15,100016,4394,2.0925
RCOA,F9_Levy_D10,10,2,3.300180916840645e-13,100017,3826,2.1088
RCOA,F9_Levy_D10,10,3,1.3013836919177477e-15,100007,4395,2.0514
RCOA,F9_Levy_D10,10,4,1.2636172016302536e-15,100008,4395,2.0478
RCOA,F9_Levy_D10,10,5,9.924997566800222e-14,100007,3950,2.0040
RCOA,F9_Levy_D10,10,6,2.3840775232449413e-14,100017,4095,2.1337
RCOA,F9_Levy_D10,10,7,1.2151896188542107e-15,100022,4396,2.0479
RCOA,F9_Levy_D10,10,8,1.2473820122363936e-15,100002,4394,2.0710
RCOA,F9_Levy_D10,10,9,1.6543451020315833e-14,100001,4133,1.9271
RCOA,F9_Levy_D10,10,10,6.256054229024902e-14,100022,3996,1.9115
RCOA,F9_Levy_D10,10,11,9.406428232278511e-14,100017,3956,2.0105
RCOA,F9_Levy_D10,10,12,1.19485097157096e-15,100010,4396,2.0246
RCOA,F9_Levy_D10,10,13,8.954444229338271e-14,100009,3960,1.9198
RCOA,F9_Levy_D10,10,14,1.1909636631070546e-15,100017,4396,2.0602
PSO,F9_Levy_D10,10,0,140.65602843928298,100000,1999,1.6257
PSO,F9_Levy_D10,10,1,11.263765808277295,100000,1999,1.6088
PSO,F9_Levy_D10,10,2,53.67174057149452,100000,1999,1.6270
PSO,F9_Levy_D10,10,3,126.82304890899113,100000,1999,1.6793
PSO,F9_Levy_D10,10,4,5.558896878239586,100000,1999,1.7049
PSO,F9_Levy_D10,10,5,7.28193430926481,100000,1999,1.6201
PSO,F9_Levy_D10,10,6,38.207871241738914,100000,1999,1.6017
PSO,F9_Levy_D10,10,7,35.19270990323254,100000,1999,1.6005
PSO,F9_Levy_D10,10,8,15.13595904050615,100000,1999,1.6790
PSO,F9_Levy_D10,10,9,4.887851801158749,100000,1999,1.7134
PSO,F9_Levy_D10,10,10,243.42049322941978,100000,1999,1.6668
PSO,F9_Levy_D10,10,11,20.662133547200852,100000,1999,1.6548
PSO,F9_Levy_D10,10,12,50.83869202263689,100000,1999,1.6908
PSO,F9_Levy_D10,10,13,187.75863812956632,100000,1999,1.6099
PSO,F9_Levy_D10,10,14,23.07496730331763,100000,1999,1.6103
DE,F9_Levy_D10,10,0,1566.6723082154665,100000,1999,2.2263
DE,F9_Levy_D10,10,1,3808.9118699428536,100000,1999,2.0883
DE,F9_Levy_D10,10,2,3777.3960214789,100000,1999,2.1948
DE,F9_Levy_D10,10,3,1430.3670602375437,100000,1999,2.0460
DE,F9_Levy_D10,10,4,4883.762778575774,100000,1999,2.0343
DE,F9_Levy_D10,10,5,3185.242225980625,100000,1999,2.3178
DE,F9_Levy_D10,10,6,2334.817485739711,100000,1999,2.0690
DE,F9_Levy_D10,10,7,3896.2474072336136,100000,1999,2.1825
DE,F9_Levy_D10,10,8,3320.2558314915877,100000,1999,2.1612
DE,F9_Levy_D10,10,9,3271.6923391641612,100000,1999,2.1420
DE,F9_Levy_D10,10,10,3499.4526948545426,100000,1999,2.0698
DE,F9_Levy_D10,10,11,2262.592766019605,100000,1999,2.1936
DE,F9_Levy_D10,10,12,3830.5122233972456,100000,1999,2.0585
DE,F9_Levy_D10,10,13,2349.02723679721,100000,1999,2.0466
DE,F9_Levy_D10,10,14,1358.4460725144745,100000,1999,2.2046
GA,F9_Levy_D10,10,0,3755.3305162333977,100034,2083,2.9023
GA,F9_Levy_D10,10,1,4329.020044883447,100034,2083,2.8704
GA,F9_Levy_D10,10,2,3777.3960214789,100034,2083,3.0941
GA,F9_Levy_D10,10,3,1430.3670602375437,100034,2083,2.9570
GA,F9_Levy_D10,10,4,4883.762778575774,100034,2083,2.9628
GA,F9_Levy_D10,10,5,3474.763011321455,100034,2083,2.8803
GA,F9_Levy_D10,10,6,2334.817485739711,100034,2083,2.9651
GA,F9_Levy_D10,10,7,3896.2474072336136,100034,2083,3.0246
GA,F9_Levy_D10,10,8,3320.2558314915877,100034,2083,2.8792
GA,F9_Levy_D10,10,9,3271.6923391641612,100034,2083,2.9670
GA,F9_Levy_D10,10,10,3499.4526948545426,100034,2083,2.8851
GA,F9_Levy_D10,10,11,4969.098919851838,100034,2083,3.2261
GA,F9_Levy_D10,10,12,3830.5122233972456,100034,2083,2.8924
GA,F9_Levy_D10,10,13,2349.02723679721,100034,2083,3.0854
GA,F9_Levy_D10,10,14,2682.4353641731227,100034,2083,3.0535
RCOA,F12_Ackley_D10,10,0,1.485421674064831e-17,100003,4414,1.7170
RCOA,F12_Ackley_D10,10,1,1.485421607568883e-17,100004,4414,1.7085
RCOA,F12_Ackley_D10,10,2,1.485421674064831e-17,100003,4414,1.8412
RCOA,F12_Ackley_D10,10,3,1.485421607568883e-17,100003,4414,1.7096
RCOA,F12_Ackley_D10,10,4,1.485421674064831e-17,100002,4414,1.7037
RCOA,F12_Ackley_D10,10,5,1.485421607568883e-17,100003,4414,1.7176
RCOA,F12_Ackley_D10,10,6,1.4706414814552968e-17,100018,4415,1.8114
RCOA,F12_Ackley_D10,10,7,1.485421674064831e-17,100006,4414,1.7145
RCOA,F12_Ackley_D10,10,8,1.485421674064831e-17,100007,4414,1.8114
RCOA,F12_Ackley_D10,10,9,1.4706414814552968e-17,100014,4415,1.7481
RCOA,F12_Ackley_D10,10,10,1.485421674064831e-17,100003,4414,1.8427
RCOA,F12_Ackley_D10,10,11,1.485421607568883e-17,100017,4414,1.7241
RCOA,F12_Ackley_D10,10,12,1.485421674064831e-17,100003,4414,1.7320
RCOA,F12_Ackley_D10,10,13,1.485421674064831e-17,100017,4414,1.8177
RCOA,F12_Ackley_D10,10,14,1.485421607568883e-17,100005,4414,1.7848
PSO,F12_Ackley_D10,10,0,20.49892991458945,100000,1999,1.4005
PSO,F12_Ackley_D10,10,1,20.410966901118723,100000,1999,1.3365
PSO,F12_Ackley_D10,10,2,20.297728331739403,100000,1999,1.3510
PSO,F12_Ackley_D10,10,3,20.449262898513556,100000,1999,1.3350
PSO,F12_Ackley_D10,10,4,20.295217552609518,100000,1999,2.3612
PSO,F12_Ackley_D10,10,5,20.268706044723366,100000,1999,1.4067
PSO,F12_Ackley_D10,10,6,20.428819542214978,100000,1999,1.3541
PSO,F12_Ackley_D10,10,7,20.369688150273657,100000,1999,1.3529
PSO,F12_Ackley_D10,10,8,20.543740745225122,100000,1999,1.4164
PSO,F12_Ackley_D10,10,9,20.480203057047863,100000,1999,1.3239
PSO,F12_Ackley_D10,10,10,20.026410323162253,100000,1999,1.3239
PSO,F12_Ackley_D10,10,11,20.47926957427082,100000,1999,1.3232
PSO,F12_Ackley_D10,10,12,20.354463795446794,100000,1999,1.3996
PSO,F12_Ackley_D10,10,13,20.474415775887756,100000,1999,1.4036
PSO,F12_Ackley_D10,10,14,20.352519240953566,100000,1999,1.3382
DE,F12_Ackley_D10,10,0,21.10367286380821,100000,1999,1.8044
DE,F12_Ackley_D10,10,1,20.991790428640474,100000,1999,1.7683
DE,F12_Ackley_D10,10,2,21.125887555699222,100000,1999,1.9491
DE,F12_Ackley_D10,10,3,21.314296597313085,100000,1999,2.3989
DE,F12_Ackley_D10,10,4,21.279582439437917,100000,1999,1.8370
DE,F12_Ackley_D10,10,5,21.06568266994561,100000,1999,1.8083
DE,F12_Ackley_D10,10,6,20.935942256437258,100000,1999,1.9075
DE,F12_Ackley_D10,10,7,21.15944399450218,100000,1999,1.7897
